Name;Longitude;Latitude;PosErrorDirection;PosErrorLambda1;PosErrorLambda2;IsDirected;Direction;ConfInt;Power;MaxPowerUsedForTowerEstimationbyPE;TowerID;MCC;MNC;TAC;CellIdentity;NRARFCN;PhyCellID;SSBIndex;NCI
gNodeB - ID:43998723/235 PCI:138;103.923206;1.304962;-15.185281;0.843516;0.815981;1;260;336;30;-43.5;51;525;3;23001;6161387;637440;138;5;11263673323
gNodeB - ID:44904643/233 PCI:278;103.961892;1.317109;-19.404396;3.191062;2.300954;1;50;206;30;-59.8;39;525;3;23001;3195881;637440;278;2;11495588841
gNodeB - ID:44904643/235 PCI:277;103.961201;1.315614;-10.092683;10.324901;10.263938;1;0;360;30;-63.1;156;525;3;23001;3195883;637440;277;5;11495588843
gNodeB - ID:44905923/233 PCI:174;103.942979;1.309074;-25.295023;4.356768;3.506661;1;190;109;30;-65.7;8;525;3;23001;3523561;637440;174;2;11495916521
gNodeB - ID:44905923/234 PCI:175;103.942979;1.309074;-25.295023;4.356768;3.506661;1;70;110;30;-65.7;8;525;3;23001;3523562;637440;175;0;11495916522
gNodeB - ID:44905923/235 PCI:176;103.942979;1.309074;-25.295023;4.356768;3.506661;1;310;109;30;-65.7;8;525;3;23001;3523563;637440;176;2;11495916523
gNodeB - ID:45014723/233 PCI:668;103.849524;1.272905;-172.533279;0.226367;0.208808;1;80;190;30;-57.1;187;525;3;12001;14599145;637440;668;0;11523769321
gNodeB - ID:45014723/234 PCI:667;103.849524;1.272905;-172.533279;0.226367;0.208808;1;260;194;30;-57.1;187;525;3;12001;14599146;637440;667;0;11523769322
gNodeB - ID:45021123/233 PCI:595;103.876258;1.294771;-46.185799;4.104535;2.926344;1;80;126;30;-49.9;270;525;3;12001;16237545;637440;595;5;11525407721
gNodeB - ID:45021123/234 PCI:596;103.876258;1.294771;-46.185799;4.104535;2.926344;1;320;110;30;-49.9;270;525;3;12001;16237546;637440;596;0;11525407722
gNodeB - ID:45021123/235 PCI:594;103.876258;1.294771;-46.185799;4.104535;2.926344;1;200;110;30;-49.9;270;525;3;12001;16237547;637440;594;5;11525407723
gNodeB - ID:45702723/235 PCI:414;103.841295;1.272396;-177.606018;1.447820;1.064403;1;260;305;30;-60.1;147;525;3;12001;6177771;637440;414;0;11699897323
gNodeB - ID:46130243/233 PCI:81;103.829677;1.257738;-30.364294;11.025157;5.277529;1;0;360;30;-79.9;249;525;3;12001;14959593;637440;81;3;11809342441
gNodeB - ID:46200643/233 PCI:319;103.969562;1.320399;-40.435303;0.198757;0.130749;1;0;103;30;-62.1;4;525;3;22001;16204777;637440;319;1;11827364841
gNodeB - ID:46200643/234 PCI:318;103.969562;1.320399;-40.435303;0.198757;0.130749;1;120;109;30;-62.1;4;525;3;22001;16204778;637440;318;0;11827364842
gNodeB - ID:46200643/235 PCI:320;103.969562;1.320399;-40.435303;0.198757;0.130749;1;240;107;30;-62.1;4;525;3;22001;16204779;637440;320;0;11827364843
gNodeB - ID:46967043/234 PCI:517;103.927828;1.304256;-38.395119;5.591319;4.626273;1;0;360;30;-74.5;98;525;3;23001;11076586;637440;517;5;12023563242
gNodeB - ID:47046403/233 PCI:766;103.921632;1.304503;-14.109558;0.362714;0.292877;1;70;288;30;-73.8;42;525;3;23001;14615529;637440;766;1;12043879401
gNodeB - ID:47046403/234 PCI:765;103.921632;1.304503;-14.109558;0.362714;0.292877;1;190;289;30;-73.8;42;525;3;23001;14615530;637440;765;5;12043879402
gNodeB - ID:1093440/51 PCI:689;103.876724;1.294255;-46.968887;6.206329;5.721226;1;0;360;30;-71.8;226;525;10;2022;11485235;422910;689;3;279920691
gNodeB - ID:771648/51 PCI:215;103.967306;1.327672;-153.474335;0.193379;0.133770;1;50;98;30;-58.2;20;525;10;2016;12992563;422910;215;3;197541939
gNodeB - ID:771648/52 PCI:213;103.967306;1.327672;-153.474335;0.193379;0.133770;1;170;100;30;-58.2;20;525;10;2016;12992564;422910;213;3;197541940
gNodeB - ID:771648/53 PCI:214;103.967306;1.327672;-153.474335;0.193379;0.133770;1;290;104;30;-58.2;20;525;10;2016;12992565;422910;214;3;197541941
gNodeB - ID:774208/51 PCI:457;103.881570;1.284243;-157.276535;13.161878;10.956038;1;0;360;30;-76.8;302;525;10;2022;13647923;422910;457;3;198197299
gNodeB - ID:774208/52 PCI:458;103.884581;1.294604;-161.090912;10.441754;10.192461;1;0;360;30;-58.5;188;525;10;2022;13647924;422910;458;3;198197300
gNodeB - ID:774208/53 PCI:456;103.884139;1.294711;-174.280426;0.216105;0.182814;1;280;150;30;-69.0;288;525;10;2022;13647925;422910;456;3;198197301
gNodeB - ID:774912/51 PCI:182;103.939862;1.310400;-14.648159;0.232184;0.152719;1;80;360;30;-53.6;111;525;10;2023;13828147;422910;182;3;198377523
gNodeB - ID:774912/52 PCI:180;103.936581;1.310853;-10.310818;0.315978;0.219036;1;220;135;30;-67.7;77;525;10;2023;13828148;422910;180;3;198377524
gNodeB - ID:774912/53 PCI:181;103.936581;1.310853;-10.310818;0.315978;0.219036;1;100;139;30;-67.7;77;525;10;2023;13828149;422910;181;3;198377525
gNodeB - ID:778304/52 PCI:15;103.900799;1.298210;0.000000;20.910006;20.910006;1;0;360;30;-75.9;149;525;10;2022;14696500;422910;15;3;199245876
gNodeB - ID:779200/51 PCI:610;103.894098;1.297705;-141.753952;2.977797;2.347347;1;90;232;30;-66.2;225;525;10;2022;14925875;422910;610;3;199475251
gNodeB - ID:779200/52 PCI:611;103.894098;1.297705;-141.753952;2.977797;2.347347;1;270;214;30;-66.2;225;525;10;2022;14925876;422910;611;3;199475252
gNodeB - ID:781632/52 PCI:30;103.925804;1.304924;-28.516760;14.188066;13.684255;1;0;360;30;-62.3;91;525;10;2023;15548468;422910;30;3;200097844
gNodeB - ID:781696/51 PCI:14;103.907412;1.299540;-174.595062;10.452336;10.196778;1;0;360;30;-59.4;73;525;10;2022;15564851;422910;14;3;200114227
gNodeB - ID:781696/52 PCI:12;103.905790;1.300097;-18.972258;4.422591;4.278430;1;70;360;30;-69.7;168;525;10;2022;15564852;422910;12;3;200114228
gNodeB - ID:781696/53 PCI:13;103.906149;1.304201;-14.563953;11.000084;10.393983;1;0;360;30;-82.0;69;525;10;2022;15564853;422910;13;3;200114229
gNodeB - ID:833792/51 PCI:109;103.842743;1.271987;-154.319656;5.364529;2.589330;1;0;360;30;-54.7;206;525;10;3013;12124211;422910;109;3;213450803
gNodeB - ID:833792/52 PCI:111;103.842743;1.271987;-154.319656;5.364529;2.589330;1;120;360;30;-54.7;206;525;10;3013;12124212;422910;111;3;213450804
gNodeB - ID:833792/53 PCI:112;103.841693;1.272443;-176.711639;0.235612;0.159787;1;90;247;30;-61.6;48;525;10;3013;12124213;422910;112;3;213450805
