Time,Operator,Technology,RSRP,RSRQ,IP Thrpt UL,Network Thrpt UL,Lat,Long,PCI,Speed o.g.
2024-11-22 12:19:05.216,SGP-M1,5G-NR,-82.8,-11.9,0.002,0.12,1.292187,103.809962,705.0,0.0
2024-11-22 12:19:05.762,SGP-M1,5G-NR,-85.4,-12.8,0.003,0.135,1.292187,103.809962,705.0,0.0
2024-11-22 12:19:06.271,SGP-M1,5G-NR,-86.1,-13.1,0.002,0.117,1.292187,103.809963,705.0,0.0
2024-11-22 12:19:07.280,SGP-M1,5G-NR,-88.7,-13.8,0.002,0.133,1.292187,103.809963,705.0,0.0
2024-11-22 12:19:07.999,SGP-M1,5G-NR,-86.2,-12.9,0.002,0.114,1.292187,103.809963,705.0,0.0
2024-11-22 12:19:08.776,SGP-M1,5G-NR,-84.0,-12.1,0.002,0.112,1.292192,103.809963,705.0,2.0
2024-11-22 12:19:09.284,SGP-M1,5G-NR,-83.8,-12.0,0.002,0.113,1.292203,103.809965,705.0,4.0
2024-11-22 12:19:10.028,SGP-M1,5G-NR,-84.0,-11.9,0.003,0.098,1.292213,103.809967,705.0,3.0
2024-11-22 12:19:10.501,SGP-M1,5G-NR,-82.3,-11.6,0.002,0.136,1.292213,103.809967,705.0,3.0
2024-11-22 12:19:11.256,SGP-M1,5G-NR,-80.9,-11.2,0.002,0.117,1.292223,103.809968,705.0,3.0
2024-11-22 12:19:11.783,SGP-M1,5G-NR,-84.8,-11.8,0.003,0.123,1.292223,103.809968,705.0,3.0
2024-11-22 12:19:12.278,SGP-M1,5G-NR,-84.7,-11.8,0.002,0.117,1.292235,103.809969,705.0,4.0
