Lat,Long,SS-RSRP,Network Thrpt DL
1.299923,103.781416,-71.8,110.86
1.299923,103.781416,-71.8,282.437
1.299923,103.781416,-71.8,282.437
1.299923,103.781416,-71.8,282.437
1.299923,103.781416,-72.4,282.437
1.299923,103.781416,-72.4,282.437
1.299923,103.781416,-72.4,295.829
1.299923,103.781416,-72.4,295.829
1.299923,103.781416,-72.4,295.829
1.299923,103.781416,-74.2,295.829
1.299923,103.781416,-74.2,295.829
1.299923,103.781416,-74.2,295.829
1.299923,103.781416,-74.2,299.68
1.299923,103.781416,-74.2,299.68
1.299923,103.781416,-74.2,299.68
1.299923,103.781416,-73.3,299.68
1.299923,103.781416,-73.3,299.68
1.299923,103.781416,-73.3,299.68
1.299923,103.781416,-73.3,284.824
1.299923,103.781416,-73.3,284.824
1.299923,103.781416,-73.3,284.824
1.299923,103.781416,-71.4,284.824
1.299923,103.781416,-71.4,284.824
1.299923,103.781416,-71.4,277.744
1.299923,103.781416,-71.4,277.744
1.299923,103.781416,-71.4,277.744
1.299923,103.781416,-71.1,277.744
1.299923,103.781416,-71.1,277.744
1.299923,103.781416,-71.1,263.51
1.299923,103.781416,-71.1,263.51
1.299923,103.781416,-71.1,263.51
1.299919,103.781413,-71.1,263.51
1.299919,103.781413,-67.5,263.51
1.299919,103.781413,-67.5,263.51
1.299919,103.781413,-67.5,274.147
1.299919,103.781413,-67.5,274.147
1.299919,103.781413,-67.5,274.147
1.299919,103.781413,-69.6,274.147
1.299919,103.781413,-69.6,274.147
1.299919,103.781413,-69.6,280.178
1.299919,103.781413,-69.6,280.178
1.299919,103.781413,-69.6,280.178
1.299919,103.781413,-68.5,280.178
1.299919,103.781413,-68.5,280.178
1.299919,103.781413,-68.5,278.734
1.299919,103.781413,-68.5,278.734
1.299919,103.781413,-68.5,278.734
1.299919,103.781413,-67.9,278.734
1.299919,103.781413,-67.9,278.734
1.299919,103.781413,-67.9,291.986
1.299919,103.781413,-67.9,291.986
1.299919,103.781413,-67.9,291.986
1.299919,103.781413,-67.5,291.986
1.299919,103.781413,-67.5,291.986
1.299919,103.781413,-67.5,276.894
1.299919,103.781413,-67.5,276.894
1.299919,103.781413,-67.5,276.894
1.299919,103.781413,-66.6,276.894
1.299919,103.781413,-66.6,276.894
1.299919,103.781413,-66.6,287.234
1.299919,103.781413,-66.6,287.234
1.299919,103.781413,-68.8,287.234
1.299919,103.781413,-68.8,287.234
1.299916,103.781411,-68.8,287.234
1.299916,103.781411,-68.8,288.142
1.299916,103.781411,-68.8,288.142
1.299916,103.781411,-68.8,288.142
1.299916,103.781411,-69.1,288.142
1.299916,103.781411,-69.1,288.142
1.299916,103.781411,-69.1,286.688
1.299916,103.781411,-69.1,286.688
1.299916,103.781411,-69.1,286.688
1.299916,103.781411,-67.5,286.688
1.299916,103.781411,-67.5,286.688
1.299916,103.781411,-67.5,292.748
1.299916,103.781411,-67.5,292.748
1.299916,103.781411,-67.5,292.748
1.299916,103.781411,-68.2,292.748
1.299916,103.781411,-68.2,292.748
1.299916,103.781411,-68.2,285.064
1.299916,103.781411,-68.2,285.064
1.299916,103.781411,-68.2,285.064
1.299916,103.781411,-69.3,285.064
1.299916,103.781411,-69.3,285.064
1.299916,103.781411,-69.3,299.774
1.299916,103.781411,-69.3,299.774
1.299916,103.781411,-69.3,299.774
1.299916,103.781411,-72,299.774
1.299916,103.781411,-72,299.774
1.299916,103.781411,-72,264.221
1.299916,103.781411,-72,264.221
1.299916,103.781411,-72,264.221
1.299916,103.781411,-72.4,264.221
1.299916,103.781411,-72.4,264.221
1.299916,103.781411,-72.4,285.802
1.299916,103.781411,-72.4,285.802
1.299916,103.781411,-72.4,285.802
1.299916,103.781411,-70.4,285.802
1.299912,103.781408,-70.4,285.802
1.299912,103.781408,-70.4,285.802
1.299912,103.781408,-70.4,288.163
1.299912,103.781408,-70.4,288.163
1.299912,103.781408,-70.4,288.163
1.299912,103.781408,-70.5,288.163
1.299912,103.781408,-70.5,288.163
1.299912,103.781408,-70.5,289.712
1.299912,103.781408,-70.5,289.712
1.299912,103.781408,-70.5,289.712
1.299912,103.781408,-69.8,289.712
1.299912,103.781408,-69.8,289.712
1.299912,103.781408,-69.8,261.468
1.299912,103.781408,-69.8,261.468
1.299912,103.781408,-69.8,261.468
1.299912,103.781408,-68.5,261.468
1.299912,103.781408,-68.5,261.468
1.299912,103.781408,-68.5,273.926
1.299912,103.781408,-68.5,273.926
1.299912,103.781408,-68.5,273.926
1.299912,103.781408,-69.1,273.926
1.299912,103.781408,-69.1,273.926
1.299912,103.781408,-69.1,261.87
1.299912,103.781408,-69.1,261.87
1.299912,103.781408,-69.1,261.87
1.299912,103.781408,-68.8,261.87
1.299912,103.781408,-68.8,261.87
1.299912,103.781408,-68.8,270.148
1.299912,103.781408,-68.8,270.148
1.299912,103.781408,-68.8,270.148
1.299912,103.781408,-68.2,270.148
1.299912,103.781408,-68.2,270.148
1.299912,103.781408,-68.2,256.344
1.299912,103.781408,-68.2,256.344
1.299912,103.781408,-68.2,256.344
1.299908,103.781406,-68.2,256.344
1.299908,103.781406,-69.3,256.344
1.299908,103.781406,-69.3,256.344
1.299908,103.781406,-69.3,278.255
1.299908,103.781406,-69.3,278.255
1.299908,103.781406,-69.3,278.255
1.299908,103.781406,-68.9,278.255
1.299908,103.781406,-68.9,278.255
1.299908,103.781406,-68.9,288.602
1.299908,103.781406,-68.9,288.602
1.299908,103.781406,-68.9,288.602
1.299908,103.781406,-71.6,288.602
1.299908,103.781406,-71.6,288.602
1.299908,103.781406,-71.6,290.886
1.299908,103.781406,-71.6,290.886
1.299908,103.781406,-71.6,290.886
